case_id	status	validity	tries	duration_s	input_tokens	output_tokens	cost_usd	mean_load	contended	batch	note
CVE-2012-2806	success	valid	2	514	219861	49553	0.467626	3.94	False	g01-haiku45-tot-20260814-1548	
CVE-2012-5134	success	valid	1	274	118103	20695	0.221578	1.63	False	g03-haiku45-tot-20260814-1957	
CVE-2013-7437	failed	valid	5	927	505655	101076	1.011035	9.28	True	g04-haiku45-tot-20260814-2019	
CVE-2016-10092	success	valid	4	1422	493129	105911	1.022684	1.42	False	g01-haiku45-tot-20260814-1845	
CVE-2016-10094	success	valid	1	125	81543	12054	0.141813	0.71	False	g01-haiku45-tot-20260814-1845	
CVE-2016-10272	failed	valid	5	704	311009	58261	0.602314	0.52	False	g03-haiku45-tot-20260814-1810	attempted twice with different outcomes (failed then success); first attempt counted
CVE-2016-1838	success	valid	1	189	62440	11013	0.117505	2.7	False	g03-haiku45-tot-20260814-1957	
CVE-2016-1839	success	valid	1	320	132780	23938	0.25247	8.33	True	g04-haiku45-tot-20260814-2019	
CVE-2016-5321	success	valid	1	110	62326	9882	0.111736	0.56	False	g02-haiku45-tot-20260814-1931	
CVE-2016-5844	success	valid	1	169	67671	14027	0.137806	2.6	False	g01-haiku45-tot-20260814-1548	
CVE-2016-8691	success	valid	1	155	95184	19410	0.192234	3.95	False	g01-haiku45-tot-20260814-1548	
CVE-2016-9264	success	valid	1	210	68318	10310	0.119868	1.1	False	g02-haiku45-tot-20260814-1613	
CVE-2016-9273	success	valid	2	764	252845	61722	0.561455	2.36	False	g02-haiku45-tot-20260814-1931	
CVE-2016-9532	success	valid	1	233	112966	22903	0.227481	0.44	False	g02-haiku45-tot-20260814-1931	
CVE-2016-9557	success	valid	1	227	106740	21384	0.21366	2.94	False	g01-haiku45-tot-20260814-1548	
CVE-2017-15020	success	valid	1	279	114812	21688	0.223252			b01-haiku45-tot-20260814-0950	
CVE-2017-15025	success	valid	1	251	106076	19213	0.202141			b01-haiku45-tot-20260814-0950	
CVE-2017-15232	success	valid	1	336	129285	29371	0.27614	3.27	False	g01-haiku45-tot-20260814-1548	
CVE-2017-5225	success	valid	1	161	80533	15282	0.156943	0.53	False	g02-haiku45-tot-20260814-1931	
CVE-2017-5969	success	valid	1	249	110382	20611	0.213437	5.97	True	g04-haiku45-tot-20260814-2019	
CVE-2017-5974	success	valid	5	1844	655654	221323	1.762269	9.79	True	g04-haiku45-tot-20260814-2019	
CVE-2017-5975	success	valid	1	200	98752	22372	0.210612	7.67	True	g04-haiku45-tot-20260814-2019	
CVE-2017-5976	success	valid	2	562	225401	51561	0.483206	5.82	True	g05-haiku45-tot-20260814-2119	
CVE-2017-6965	success	valid	1	634	190787	47002	0.425797			b01-haiku45-tot-20260814-0950	
CVE-2017-7595	success	valid	1	219	109800	20576	0.21268	0.7	False	g02-haiku45-tot-20260814-1931	
CVE-2017-7599	success	valid	1	185	79393	16385	0.161318	3.68	False	g03-haiku45-tot-20260814-1957	
CVE-2017-7600	success	valid	1	217	100330	19335	0.197005	1.22	False	g03-haiku45-tot-20260814-1957	
CVE-2017-7601	success	valid	1	465	137416	31843	0.296631	6.0	True	g03-haiku45-tot-20260814-1957	
CVE-2018-14498	failed	valid	5	1619	636108	149806	1.385138	1.01	False	g02-haiku45-tot-20260814-1613	
CVE-2018-19664	failed	valid	5	1891	753781	164948	1.578521	1.83	False	g02-haiku45-tot-20260814-1613	
CVE-2018-8806	success	valid	1	734	171488	39331	0.368143	0.68	False	g02-haiku45-tot-20260814-1613	
CVE-2018-8964	failed	valid	5	2526	729827	159998	1.529817	1.5	False	g02-haiku45-tot-20260814-1613	
bugzilla-2611	success	valid	1	175	82345	16384	0.164265	0.32	False	g01-haiku45-tot-20260814-1845	
bugzilla-2633	failed	valid	5	1048	458532	99245	0.954757	0.49	False	g03-haiku45-tot-20260814-1810	attempted twice with different outcomes (failed then success); first attempt counted
gnubug-19784	success	valid	1	349	80481	15101	0.155986			b01-haiku45-tot-20260814-0950	
gnubug-25003	success	valid	1	725	108847	19951	0.208602			b02-haiku45-tot-20260814-1029	
gnubug-25023	success	valid	3	2962	364411	66865	0.698736			b02-haiku45-tot-20260814-1029	
gnubug-26545	success	valid	1	966	126584	20294	0.228054			b02-haiku45-tot-20260814-1029	
CVE-2017-14745	failed	needs_rerun	5	589	389692	68074	0.730062			b01-haiku45-tot-20260814-0950	inner container command failed
